excercise	primary_muscle	sets	reps
Seated Dumbbell Incline Curl	Bicep	3	12
Barbell Incline Bench Press	Chest	3	12
T-Bar Row	Back	3	12
Dumbbell Lying Triceps Extension	Tricep	3	12
Machine Seated Leg Extension	Legs	3	12
Machine Seated Calf Raise	Legs	3	12
Barbell Romanian Deadlift	Back	3	12
Cable Close-Grip Lat Pulldown	Tricep	3	12
Cable Pushdown (with Rope)	Tricep	3	12
Cable Lateral Raise	Shoulders	3	12
Dips	Tricep	3	12
Dumbbell Incline Bench Press	Chest	3	12
Barbell Back Squat	Legs	3	12
Barbell Standing Overhead Press	Shoulders	3	12
Machine Seated Row (Chest Supported)	Back	3	12
Dumbbell Lateral Raise	Shoulders	3	12
Hanging Leg Raise	Abs	3	12
Bulgarian splits	Legs	3	12
